,words,tags,cased
36,"if he or she did not , then they should have all the same rights as other iraqis .",SCONJ PRON CCONJ PRON VERB PART PUNCT ADV PRON AUX VERB DET DET ADJ NOUN ADP ADJ PROPN PUNCT,"If he or she did not , then they should have all the same rights as other Iraqis ."
37,al - sharq al - awsat reports that a key eyewitness in the trial of saddam hussein for a 1982 massacre at dujail has died .,PROPN PUNCT PROPN PROPN PUNCT PROPN VERB SCONJ DET ADJ NOUN ADP DET NOUN ADP PROPN PROPN ADP DET NUM NOUN ADP PROPN AUX VERB PUNCT,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .
38,a team from the court managed to take his deposition before he died .,DET NOUN ADP DET NOUN VERB PART VERB PRON NOUN SCONJ PRON VERB PUNCT,A team from the court managed to take his deposition before he died .
39,the trial begins again nov. 28 .,DET NOUN VERB ADV PROPN NUM PUNCT,The trial begins again Nov. 28 .
40,"in baghdad the fighting still continues in several areas , mostly in sadr city and adhamiya .",ADP PROPN DET NOUN ADV VERB ADP ADJ NOUN PUNCT ADV ADP PROPN NOUN CCONJ PROPN PUNCT,"In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya ."
41,"baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck .",PROPN AUX PART VERB ADV ADP ADP PRON NOUN ADV ADV PUNCT PRON ADV VERB ADV PRON AUX VERB ADJ PUNCT,"Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck ."
42,there has been talk that the night curfew might be implemented again .,PRON AUX VERB NOUN SCONJ DET NOUN NOUN AUX AUX VERB ADV PUNCT,There has been talk that the night curfew might be implemented again .
43,"my neighbourhood has been surrounded by american troops for three days now , helicopters have been circling over our heads non-stop .",PRON NOUN AUX AUX VERB ADP ADJ NOUN ADP NUM NOUN ADV PUNCT NOUN AUX AUX VERB ADP PRON NOUN ADV PUNCT,"My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop ."
44,fedayeen are now visible on the street and they have become bolder than ever .,NOUN AUX ADV ADJ ADP DET NOUN CCONJ PRON AUX VERB ADJ ADP ADV PUNCT,Fedayeen are now visible on the street and they have become bolder than ever .
45,"yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when americans leave the area , then they start firing mortars indiscriminately and shooting their ak - 47's in the air .",NOUN PRON VERB NOUN ADP PRON VERB NOUN NOUN ADP PRON NOUN CCONJ VERB ADP NOUN PUNCT PRON ADV VERB ADV ADP DET ADJ ADV PROPN VERB DET NOUN PUNCT ADV PRON VERB VERB NOUN ADV CCONJ VERB PRON NOUN PUNCT NOUN ADP DET NOUN PUNCT,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air ."
46,"they are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .",PRON AUX VERB DET NOUN NOUN ADP DET ADV ADJ NOUN PRON VERB ADP DET NOUN ADJ NOUN PUNCT PRON VERB PRON AUX DET ADJ NOUN PUNCT,"They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people ."
47,"and there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",CCONJ PRON VERB PRON PRON AUX VERB ADP PRON ADV PUNCT NOUN PRON AUX VERB SCONJ PRON VERB ADV CCONJ VERB PRON AUX VERB ADP NOUN NOUN PUNCT,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land ."
48,"even the ip and icdc have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are american soldiers going to distinguish the brave and valiant civilians from the fedayeen ?",ADV DET PROPN CCONJ PROPN AUX VERB DET NOUN PUNCT CCONJ PRON AUX ADJ CCONJ ADJ PUNCT ADV AUX PART VERB ADJ NOUN PART VERB PRON SCONJ PART VERB ADV CCONJ VERB DET NOUN CCONJ DET NOUN AUX PART VERB PRON PUNCT CCONJ ADV ADV AUX ADJ NOUN VERB PART VERB DET ADJ CCONJ ADJ NOUN ADP DET NOUN PUNCT,"Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?"
49,"everyone is apprehensive , there is some talk that april 9th and 10th are going to be bloody days .",PRON AUX ADJ PUNCT PRON VERB DET NOUN SCONJ PROPN NOUN CCONJ NOUN AUX VERB PART AUX ADJ NOUN PUNCT,"Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days ."
50,"most people have n't gone to work the last few days , although it seems that the rest of baghdad is ' normal ' ( if you can define what normal is ) .",ADJ NOUN AUX PART VERB ADP NOUN DET ADJ ADJ NOUN PUNCT SCONJ PRON VERB SCONJ DET NOUN ADP PROPN AUX PUNCT ADJ PUNCT PUNCT SCONJ PRON AUX VERB PRON NOUN VERB PUNCT PUNCT,"Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) ."
51,"there are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last april , and i have already overheard youngsters in my neighbourhood joking about it and saying things like "" this time we will be the first to loot , we did n't get anything the last time "" .",PRON VERB NOUN ADP NOUN ADP NOUN NOUN ADP DET NOUN NOUN ADP NOUN PUNCT ADJ CCONJ ADJ NOUN ADJ ADP DET NOUN PRON VERB NOUN ADJ PROPN PUNCT CCONJ PRON AUX ADV VERB NOUN ADP PRON NOUN VERB ADP PRON CCONJ VERB NOUN SCONJ PUNCT DET NOUN PRON AUX AUX DET ADJ PART VERB PUNCT PRON AUX PART VERB PRON DET ADJ NOUN PUNCT PUNCT,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."
52,"mosques are calling for donating blood , food , and medicine for fallujah , and several convoys have already headed out for fallujah , most of them returned later though .",NOUN AUX VERB SCONJ VERB NOUN PUNCT NOUN PUNCT CCONJ NOUN ADP PROPN PUNCT CCONJ ADJ NOUN AUX ADV VERB ADV ADP PROPN PUNCT ADJ ADP PRON VERB ADV ADV PUNCT,"Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though ."
53,"what irritates me is this sudden false ' solidarity ' between sunni and shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and shia clerics were describing fallujan insurgents as ' ba'athists ' , ' saddamites ' , ' wahhabis ' , and ' terrorists ' just a few days ago .",PRON VERB PRON AUX DET ADJ ADJ PUNCT NOUN PUNCT ADP ADJ CCONJ ADJ NOUN PUNCT PRON DET VERB SCONJ PRON AUX AUX ADJ PART VERB ADP DET ADJ PART NOUN ADV PRON VERB DET NOUN PUNCT CCONJ ADJ NOUN AUX VERB ADJ NOUN ADP PUNCT PROPN PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PUNCT PROPN PUNCT PUNCT CCONJ PUNCT NOUN PUNCT ADV DET ADJ NOUN ADV PUNCT,"What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago ."
54,so what happened ?,ADV PRON VERB PUNCT,So what happened ?
55,"i guess it 's just the old new arab ' me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' the enemy of my enemy is my friend ' thing going on again .",PRON VERB PRON AUX ADV DET ADJ ADJ ADJ PUNCT PRON ADP PRON NOUN PUNCT PRON CCONJ PRON NOUN ADP PRON NOUN PUNCT PRON CCONJ PRON NOUN ADP PRON NOUN PUNCT PUNCT CCONJ PUNCT DET NOUN ADP PRON NOUN AUX PRON NOUN PUNCT NOUN VERB ADP ADV PUNCT,"I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again ."
56,"speaking of fallujah , we have only al - jazeera to rely on for our news from there .",VERB ADP PROPN PUNCT PRON VERB ADV PROPN PUNCT PROPN PART VERB ADP ADP PRON NOUN ADP ADV PUNCT,"Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there ."
57,"they have sent over their top reporter ahmed mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of al - sahhaf .",PRON AUX VERB ADV PRON ADJ NOUN PROPN PROPN ADP DET NOUN PUNCT CCONJ PRON AUX VERB DET NOUN ADP NOUN ADV VERB PRON ADP PROPN PUNCT PROPN PUNCT,"They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf ."
58,""" they are targetting ambulances "" , "" american snipers are shooting children and pregnant women "" , and "" they are using cluster bombs against civilians "" is all you get to hear from him .",PUNCT PRON AUX VERB NOUN PUNCT PUNCT PUNCT ADJ NOUN AUX VERB NOUN CCONJ ADJ NOUN PUNCT PUNCT CCONJ PUNCT PRON AUX VERB NOUN NOUN ADP NOUN PUNCT AUX DET PRON VERB PART VERB ADP PRON PUNCT,""" They are targetting ambulances "" , "" American snipers are shooting children and pregnant women "" , and "" They are using cluster bombs against civilians "" is all you get to hear from him ."
59,"he did once make an unforgivable error when he mentioned that fallujan militants were shooting at the marines from the roofs of mosques and houses in hay al - golan , but of course that is okay for al - jazeera .",PRON AUX ADV VERB DET ADJ NOUN ADV PRON VERB SCONJ ADJ NOUN AUX VERB ADP DET PROPN ADP DET NOUN ADP NOUN CCONJ NOUN ADP PROPN PROPN PUNCT PROPN PUNCT CCONJ ADV ADV PRON AUX ADJ ADP PROPN PUNCT PROPN PUNCT,"He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al - Golan , but of course that is okay for Al - Jazeera ."
60,someone who called himself abu hafs from the ibn al - khattab brigades ( another new group ) was on al - jazeera describing the enormous casualties among the marines and he sweared that american soldiers were mutilating the bodies of dead insurgents .,PRON PRON VERB PRON PROPN PROPN ADP DET PROPN PROPN PUNCT PROPN PROPN PUNCT DET ADJ NOUN PUNCT AUX ADP PROPN PUNCT PROPN VERB DET ADJ NOUN ADP DET PROPN CCONJ PRON VERB SCONJ ADJ NOUN AUX VERB DET NOUN ADP ADJ NOUN PUNCT,Someone who called himself Abu Hafs from the Ibn Al - Khattab Brigades ( another new group ) was on Al - Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents .
61,over 300 iraqis are reported dead and 500 reported wounded in fallujah alone .,ADV NUM PROPN AUX VERB ADJ CCONJ NUM VERB ADJ ADP PROPN ADV PUNCT,Over 300 Iraqis are reported dead and 500 reported wounded in Fallujah alone .
62,al - iraqiyah tv said that icdc were controlling ramadi .,PROPN PUNCT PROPN PROPN VERB SCONJ PROPN AUX VERB PROPN PUNCT,Al - Iraqiyah tv said that ICDC were controlling Ramadi .
63,"azzaman newspaper mentioned an announcement signed by abdul aziz bin muqrin , an al - qaeda operative in saudi arabia on an islamic website ' the voice of jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in islam , but in this case it is allowed if muslims use it against infidels to deter them from committing criminal actions "" .",PROPN NOUN VERB DET NOUN VERB ADP PROPN PROPN PROPN PROPN PUNCT DET PROPN PUNCT PROPN NOUN ADP PROPN PROPN ADP DET ADJ NOUN PUNCT DET PROPN ADP PROPN PUNCT PUNCT ADP PRON PRON VERB SCONJ PUNCT SCONJ VERB ADJ NOUN AUX PART ADV VERB ADP PROPN PUNCT CCONJ ADP DET NOUN PRON AUX VERB SCONJ PROPN VERB PRON ADP NOUN PART VERB PRON SCONJ VERB ADJ NOUN PUNCT PUNCT,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."
64,"he added that "" america does not understand anything except the language of force and retaliation , they were kicked out of somalia in humiliation after that soldier was dragged in mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of americans and jews would be dragged , defiled , and stepped on in the arabian peninsula together with their agents and supporters "" .",PRON VERB SCONJ PUNCT PROPN AUX PART VERB PRON ADP DET NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX VERB ADP ADP PROPN ADP NOUN SCONJ DET NOUN AUX VERB ADP PROPN SCONJ DET ADJ NOUN PART VERB PUNCT PUNCT CCONJ SCONJ PUNCT DET NOUN AUX VERB ADV DET ADJ NOUN ADP PROPN CCONJ PROPN AUX AUX VERB PUNCT VERB PUNCT CCONJ VERB ADP ADP DET PROPN PROPN ADV ADP PRON NOUN CCONJ NOUN PUNCT PUNCT,"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."
65,elena 's motorcycle tour through the region around chernobyl has revived interest in one of the most serious nuclear disasters in history .,PROPN PART NOUN NOUN ADP DET NOUN ADP PROPN AUX VERB NOUN ADP NUM ADP DET ADV ADJ ADJ NOUN ADP NOUN PUNCT,Elena 's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history .
66,"we all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect chernobyl will have on the health of people affected by the fallout .",PRON DET VERB PRON VERB PUNCT CCONJ ADV ADP DET NOUN PUNCT PRON VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV PRON VERB CCONJ DET NOUN PROPN AUX VERB ADP DET NOUN ADP NOUN VERB ADP DET NOUN PUNCT,"We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout ."
67,update :,NOUN PUNCT,UPDATE :
68,now you can tour chernobyl and write your own story .,ADV PRON AUX VERB PROPN CCONJ VERB PRON ADJ NOUN PUNCT,Now you can tour Chernobyl and write your own story .
69,this is not a post about fault - finding or assigning blame .,PRON AUX PART DET NOUN ADP NOUN PUNCT NOUN CCONJ VERB NOUN PUNCT,This is not a post about fault - finding or assigning blame .
70,it is a time to learn what happened and how it may affect the future .,PRON AUX DET NOUN PART VERB PRON VERB CCONJ ADV PRON AUX VERB DET NOUN PUNCT,It is a time to learn what happened and how it may affect the future .
71,there was a soothing authoritative unscear ( united nations scientific committee on the effects of atomic radiation ) report in 2000 on the health effects of chernobyl confirming that there was no scientific evidence of any significant radiation - related health effects to most people exposed .,PRON AUX DET ADJ ADJ PROPN PUNCT PROPN PROPN PROPN PROPN ADP DET PROPN ADP PROPN PROPN PUNCT NOUN ADP NUM ADP DET NOUN NOUN ADP PROPN VERB SCONJ PRON VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN NOUN ADP ADJ NOUN VERB PUNCT,There was a soothing authoritative UNSCEAR ( United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation - related health effects to most people exposed .
72,this was heavily promoted by the australasian radiation protection society in a press release titled the myths of chernobyl which contained the following :,PRON AUX ADV VERB ADP DET PROPN PROPN PROPN PROPN ADP DET NOUN NOUN VERB DET PROPN ADP PROPN PRON VERB DET VERB PUNCT,This was heavily promoted by the Australasian Radiation Protection Society in a press release titled THE MYTHS OF CHERNOBYL which contained the following :
73,"one of the most widespread myths of recent times is that the chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .",NUM ADP DET ADV ADJ NOUN ADP ADJ NOUN VERB SCONJ DET PROPN ADJ NOUN NOUN ADP NUM VERB ADJ NOUN ADP ADJ NOUN NOUN ADP VERB NOUN PUNCT CCONJ SCONJ ADJ NOUN AUX AUX ADV VERB ADP NOUN ADP NOUN PUNCT,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation ."
